HIP	HD	2MASS	Fe	Eu	EuII	
37590 	62412 	07424816-2621045 	0.01 	0.01 		
37504 	63295 	07414925-7236219 	-0.17 	-0.12 		
42483 	73898 		-0.48 	-0.38 	-0.37 	
45856 	81101 	09205682-6224165 	-0.4 	-0.29 		
46026 	81169 	09231227-2850018 	-0.08 	0.02 	0.06 	
58082 	103462 	11544254-2542501 	-0.55 	-0.36 		
62500 	111295 	12482627-2735503 	-0.36 	-0.32 	-0.23 	
77729 	141832 	15521281-2953115 	0.12 	0.23 	0.19 	
88038 	163652 	17585568-3651300 	-0.385 	0.07 		
92086 	173378 	18460385-2729563 	-0.23 	-0.19 	0.01 	
95322 	181517 	19233693-5356462 	0.055 	0.04 		
95866 	182893 	19295258-5526302 	0.1 	0.16 		
101772 	196171 	20373402-4717292 	-0.09 	-0.03 		
102831 	198232 	20495810-3346471 	-0.08 	-0.15 		
103738 	199951 		-0.05 	-0.09 		
104752 	201852 	21131896-3625246 	-0.045 	0.03 		
71819 	129290 	14412878+1336052 	-0.15 	0.51 	0.01 	
74271 	134330 	15104321-4343008 	0.055 	0.02 		
90355 	169822 	18261008+0846395 	-0.152 	0.6 	0.24 	
30545 	45067 	06251652-0056448 	-0.04 	-0.06 	-0.075 	
171 	224930 	00021014+2704570 	-0.8 	-0.42 		
544 	166 	00063674+2901175 	0.14 	0.08 	0.38 	
2021 	2151 		-0.13 	-0.08 		
3765 	4628 	00482303+0516497 	-0.26 	-0.04 	0.27 	
3821 	4614 	00490622+5748545 	-0.25 	-0.16 	0.16 	
4148 	5133 	00530108-3021249 	-0.105 	0.15 		
5336 	6582 	01081597+5455148 	-0.84 	-0.48 		
7751 	10360 		-0.23 	0.14 		
7918 	10307 	01414714+4236483 	0.02 	0.14 	0.2 	
7981 	10476 	01422977+2016073 	-0.04 	0.005 	0.25 	
8362 	10780 	01474488+6351090 	0.03 	0.13 	0.5 	
10644 	13974 	02170303+3413278 	-0.49 	-0.335 	-0.02 	
10798 	14412 	02185853-2556451 	-0.47 	-0.045 	0.15 	
12777 	16895 	02441197+4913423 	0.01 	0.04 	0.25 	
12843 	17206 	02450616-1834211 	0.05 	1.03 		
13402 	17925 	02523210-1246109 	0.1 	0.105 	0.43 	
14632 	19373 	03090387+4936479 	0.095 	0.09 	0.11 	
14879 	20010 		-0.235 	-0.06 		
15330 	20766 	03174616-6234313 	-0.24 	-0.07 		
15457 	20630 	03192169+0322126 	0.0715 	0.095 	0.28 	
16852 	22484 	03365238+0024054 	-0.0425 	-0.01 	-8.67362e-18 	
22263 	30495 	04473628-1656041 	0.01 	0.05 	0.225 	
22449 	30652 	04495040+0657409 	0.01 	0.19 	0.44 	
23311 	32147 	05004896-0545117 	0.23 	0.375 	0.37 	
23693 	33262 	05053067-5728217 	-0.17 	0.12 		
24813 	34411 	05190848+4005565 	0.08 	0.12 	0.125 	
26779 	37394 	05412033+5328523 	0.09 	0.135 	0.34 	
27072 	38393 		-0.065 	0.05 	0.11 	
27913 	39587 	05542300+2016344 	-0.015 	-0.015 	0.36 	
29271 	43834 	06101448-7445107 	0.11 	0.17 	0.06 	
37279 	61421 	07391805+0513298 	-0.02 	0.175 	-0.005 	
37349 	61606 	07395932-0335506 		0.01 		
42438 	72905 	08391162+6501151 	-0.025 	-0.06 	0.25 	
42808 	74576 	08431805-3852569 	0.02 	0.23 		
46853 	82328 	09325151+5140384 	-0.17 	-0.03 	0.07 	
47080 	82885 	09353959+3548366 	0.28 	0.645 	0.58 	
51459 	90839 	10303759+5558501 	-0.09 	0.35 	0.02 	
56452 	100623 		-0.37 			
56997 	101501 	11410301+3412064 	-0.03 	0.2 	0.12 	
57757 	102870 	11504173+0145528 	0.13 	0.055 	0.23 	
58576 	104304 	12004444-1026452 	0.26 	0.58 	0.71 	
61317 	109358 	12334454+4121270 	-0.185 	-0.11 	0.02 	
64241 	114378 	13095936+1731456 	-0.23 	0.845 	0.28 	
64394 	114710 	13115238+2752411 	0.07 	0.07 		
64797 	115404 	13165106+1701021 	-0.12 	0.09 		
67422 	120476 		-0.07 	0.25 		
67927 	121370 	13544106+1823514 	0.28 	0.41 	0.42 	
68184 	122064 	13573203+6129343 	0.135 	0.14 	1.11 	
71681 	128621 		0.26 	0.28 	0.105 	
71683 	128620 		0.224 	-0.005 	0.17 	
72659 	131156 	14512328+1906034 	-0.1445 	-0.03 		
72848 	131511 	14532374+1909104 	0.08 	0.205 	0.22 	
77257 	141004 	15462661+0721109 	-0.02 	0.09 	-0.12 	
78072 	142860 	15562720+1539413 	-0.185 	0.02 	0.59 	
78775 	144579 	16045689+3909234 	-0.68 	-0.34 	0.18 	
80686 	147584 	16282814-7005037 	-0.065 	-0.03 	0.02 	
81300 	149661 		0.03 	0.055 	0.54 	
81693 	150680 	16411728+3136093 	0.015 	0.02 	-0.07 	
84405 	155885 		-0.25 	0.015 	0.21 	
84720 	156274 	17190373-4638109 	-0.34 	-0.03 		
84862 	157214 	17203955+3228056 	-0.37 	-0.01 	-0.06 	
85235 	158633 	17250019+6718246 	-0.47 	-0.15 	0.07 	
86036 	160269 	17345954+6152290 	-0.01 	0.395 	0.04 	
86400 	160346 	17391691+0333190 	-0.08 	-0.06 	0.41 	
86974 	161797 	17462752+2743142 	0.24 	0.18 	0.31 	
88601 	165341 		0.07 	-0.005 		
88972 	166620 	18093745+3827288 	-0.19 	-0.06 	0.17 	
89937 	170153 	18210342+7243582 	-0.58 	-0.23 		
90790 	170657 	18311897-1854314 	-0.155 	-0.02 	0.15 	
91438 	172051 	18385342-2103065 	-0.24 	0.075 		
96100 	185144 	19322153+6939413 	-0.2 	-0.07 	0.1 	
98036 	188512 	19551878+0624238 	-0.14 	-0.05 		
99461 	191408 		-0.52 	0.08 		
102422 	198149 	20451737+6150199 	-0.12 	-0.03 	0.07 	
105858 	203608 	21262662-6521578 	-0.665 	-0.38 	-0.61 	
109176 	210027 	22070067+2520424 	-0.155 	-0.03 	0.15 	
116771 	222368 	23395706+0537343 	-0.12 	0.16 	0.155 	
3086 	3628 	00391330+0308023 	-0.1 	0.28 	0.44 	
3185 	3795 	00403279-2348172 	-0.59 	-0.025 	0.025 	
3734 	4607 	00475734-0920476 	-0.06 	-0.05 	0.04 	
5862 	7570 		0.15 	-0.08 	-0.04 	
6653 	8648 	01252011+0127390 	0.16 	-0.01 	0.25 	
7276 	9562 	01334282-0701311 	0.26 	0.28 	0.33 	
7961 	10519 	01421485-1753197 	-0.61 	-0.28 	-0.275 	
8398 	11112 	01482056-4129423 	0.2 	-0.13 	0.12 	
9911 	13043 	02073429-0037022 	0.08 	1.54 	0.2 	
11072 	14802 	02223255-2348592 	-0.07 	0.67 	0.24 	
13366 	17820 	02515835+1122119 	-0.67 	-0.35 	-0.25 	
13902 	18709 	02585906-4344537 	-0.26 	-0.29 	0.03 	
14086 	18907 	03013762-2805289 	-0.575 	-0.4 	-0.25 	
16169 	21543 	03282106-0631509 	-0.55 	-0.19 	-0.2 	
17987 	24156 	03504161-0437205 	-0.48 	-0.09 		
28066 	39881 	05560340+1355302 	-0.16 	0.51 	0.1 	
29716 	43318 	06153428-0030436 	-0.13 	-0.03 	-0.02 	
30480 	45701 	06242658-6325439 	0.2 	-0.13 	0.02 	
34065 	53705 	07035734-4336289 	-0.22 	-0.13 	-0.07 	
34069 	53706 	07035890-4336411 	-0.285 	-0.15 		
34739 	55720 	07113166-4925271 	-0.35 	-0.07 	-0.06 	
36269 	59392 	07280320-3800410 	-1.64 	-0.54 		
36491 	59374 	07302901+1857414 	-0.93 	-0.63 	-0.46 	
37853 	63077 		-0.81 	-0.14 	-0.44 	
38541 	64090 	07533301+3036216 	-1.75 	-1.74 	-1.505 	
38625 	64606 	07543420-0124442 	-0.88 	-0.51 	0.36 	
38750 	64815 	07560065+0630439 	-0.33 	-0.01 	0.26 	
49988 	88446 	10121908+1717569 	-0.43 	-0.035 		
64345 	114606 	13112139+0937335 	-0.56 	-0.18 		
64698 	115231 	13153694+0900575 	-0.13 	0.15 	0.17 	
68464 	122196 	14010215-3803030 	-1.78 	-1.535 	-1.94 	
70330 	125968 	14232340-2749214 	0.09 	0.05 	0.165 	
74079 	134169 	15081805+0355502 	-0.81 	-0.235 	-0.435 	
74235 	134439 		-1.42 	-1.28 		
74537 	135204 	15135096-0121047 	-0.16 	0.255 	0.225 	
76899 	140209 	15420570+1058387 	-0.16 	-0.05 	0.1 	
76976 	140283 	15430307-1056009 	-2.39 	-1.79 		
78640 		16031329+4214466 	-1.35 	-1.05 		
79137 	145148 	16091121+0622432 	0.25 	0.09 	0.4 	
81461 	149996 	16381739-0226315 	-0.5 	-0.11 	0.12 	
82588 	152391 	16525877-0001356 	-0.05 	0.23 	0.12 	
82621 	152311 	16532523-2024561 	0.11 	0.66 	0.19 	
84781 	156893 	17194638+0633135 	-0.25 	0.17 	0.1 	
84803 	156802 	17200014-0801231 	-0.43 	-0.1 	-0.04 	
84905 	157089 	17210705+0126350 	-0.56 		0.13 	
85007 	157466 	17222764+2452457 	-0.39 	-0.39 	-0.29 	
85757 	158809 	17312542-0232195 	-0.625 	-0.5 		
86013 	159482 	17344305+0600519 	-0.74 	-0.46 	-0.28 	
86193 	159909 	17365019+1034284 	0.06 	0.09 	0.12 	
87841 	163492 	17564312-0900533 	0.12 	0.85 	0.24 	
88622 	165401 	18053746+0439255 	-0.4 	-0.075 	-0.12 	
89554 	166913 	18162570-5924111 	-1.57 	-0.89 		
93966 	178428 	19075730+1651130 	0.14 	0.17 	0.22 	
95447 	182572 	19245822+1156401 	0.41 	0.675 	0.66 	
97779 	187897 	19520937+0727360 	0.1 	0.82 	0.285 	
98020 	188510 	19550968+1044275 	-1.495 	-0.98 	-1.71 	
98532 	189558 	20010027-1215198 	-1.12 	-1.18 	-0.655 	
100412 	193307 	20214103-4959575 	-0.275 	-0.36 		
102610 	198089 	20473787+1259104 	-0.28 	0.03 	-0.12 	
104294 	201099 	21074384-0533570 	-0.44 	-0.22 	-0.065 	
104659 	201891 	21115903+1743403 	-1.05 	-0.89 	-0.865 	
104922 	202282 	21151168-1544283 	0.05 	0.89 	0.12 	
108736 	208998 	22013652-5305366 	-0.32 	-0.42 		
109214 	209653 	22072995-6801245 	-0.14 	-0.24 	-0.1 	
109450 	210483 	22102614+1847495 	-0.095 	0.25 	0.14 	
110035 	211476 	22171500+1253544 	-0.155 	0.255 	0.08 	
110712 	212168 		0.02 	-0.29 	0.09 	
113688 	217577 	23013314+1916108 	-0.14 	0.47 	-0.05 	
114702 	219175 	23140743-0855275 	-0.34 	-0.19 		
18261 	24552 	03542263+0115418 	0.001 	0.67 	0.62 	
23835 	32923 	05072692+1838420 	-0.183 	0.38 	0.09 	
29525 	42807 	06131250+1037374 	-0.03 	0.02 	0.49 	
30502 	45346 	06244377-4324205 	-0.053 	-0.021 		
38228 	63433 	07495506+2721473 	-0.01 	-0.03 	0.25 	
49756 	88072 	10092342+0222158 	0.01 	0.15 		
56948 	101364 	11402848+6900306 	0.0045 	0.076 		
60370 	107692 	12224478-3910396 	0.142 	-0.11 		
62175 	110869 	12442902+5841274 	0.11 	0.71 	0.46 	
73815 	133600 	15051325+0617235 	0.02 	0.02 		
77052 	140538 	15440182+0230548 	0.036 	0.14 	0.37 	
77883 	142331 	15541979-0834493 	0.023 	0.021 		
89650 	167060 	18174414-6142317 		0.008 		
96402 	184768 	19360065+0005285 	-0.07 	0.32 	0.53 	
96895 	186408 	19414896+5031305 	0.09 	0.04 	0.34 	
102152 	197027 	20415462-2712574 	-0.0165 	0.04 		
2235 	2454 	00282004+1011233 	-0.3 	-0.32 	-0.28 	
3909 	4813 	00500759-1038394 	-0.09 	0.67 	0.175 	
12306 	16397 	02382793+3049006 	-0.51 	-0.375 	0.15 	
18235 	24616 	03535944-2308131 	-0.73 	-0.39 		
21832 	29587 	04413631+4207065 	-0.575 	0.005 	0.01 	
26828 	37739 	05414672+2252135 	-0.38 	-0.3 		
44441 	77408 	09031580+3252531 	-0.28 	0.05 		
93185 	176377 	18585101+3010498 	-0.23 	-0.03 	0.35 	
107975 	207978 	21522991+2847367 	-0.515 	-0.35 	-0.42 	
116421 	221830 	23352889+3101017 	-0.405 	0.09 		
118010 	224233 	23561142+5946032 	-0.12 	0.06 		
28159 	40040 	05570177+1544290 	-0.43 	0.04 		
34017 	52711 	07033043+2920150 	-0.1 	-0.03 	-0.04 	
49942 	88371 	10114813+2345184 	-0.285 	0.095 	0.17 	
50316 	88986 	10162809+2840571 	0.042 	0.76 	0.17 	
51579 	91204 	10320550+1759231 	0.205 	-0.03 		
60019 	107038 	12183211-0854159 	-0.39 	-0.24 		
63405 	112887 	12593294+2803563 	-0.375 	-0.09 		
68796 	123710 	14045706+7434251 	-0.53 	-0.33 		
15323 	20367 	03174006+3107374 	0.14 	0.9 	0.15 	
24205 	33636 	05114645+0424127 	-0.09 	0.3405 	0.2 	
98714 	190228 	20030076+2818245 	-0.248 	0.04 	-0.115 	
11952 	16031 	02341104-1223031 	-1.815 	-0.74 	-2.02 	
53070 	94028 	10512815+2016397 	-1.48 	-0.885 	-1.275 	
61264 	109303 	12331902+4918068 	-0.555 	-0.12 		
94449 	179626 	19132074-0035417 	-1.03 	-0.8 	-0.97 	
96185 	184499 	19332714+3312064 	-0.51 	-0.285 	0.3 	
103987 	200580 	21040736+0259399 	-0.61 	-0.54 	-0.32 	
104660 	201889 	21115951+2410051 	-0.79 	-0.495 		
108490 	208906 	21584086+2948462 	-0.73 	-0.46 		
45807 	80635 	09202747-1725289 	0.335 	-0.27 		
46388 	82082 	09273164-5805403 	0.05 	-0.1 		
49024 	86819 	10000592-3602356 	-0.08 	-0.06 		
59143 	105328 	12073902-2358326 	0.09 	-0.15 		
67620 	120690 	13512039-2423252 	-0.034 	0.62 	0.2 	
80399 	147722 		0.1 	0.43 	0.29 	
84489 	155974 	17162161-3545006 	-0.21 	-0.37 		
100925 	194640 	20274424-3052039 	-0.045 	-0.28 		
102128 	196068 	20414550-7520471 	0.16 	0.02 		
105184 	202628 	21182725-4320048 	-0.006 	-0.0655 		
112117 	214953 	22423689-4712383 	-0.05 	0.05 		
88531 	164427 	18044259-5912344 	0.055 	-0.15 		
7339 	9407 	01343317+6856535 	0.05 	0.02 	0.56 	
7902 	10145 	01413768+6654359 	-0.01 	0.355 	0.5 	
9269 	12051 	01590663+3312350 	0.24 	0.4 	0.85 	
9353 	12235 	02000916+0305490 	0.28 	0.55 	0.45 	
9829 	12846 	02063024+2420023 	-0.24 	0.18 	0.43 	
10531 	13579 	02154252+6740205 	0.35 	0.54 	1.18 	
13976 	18632 	03000280+0744590 	0.18 	0.02 	0.98 	
14150 	18803 	03022598+2636334 	0.14 	0.12 	0.69 	
14532 	19308 	03073939+3637037 	0.08 	0.395 	0.54 	
15099 	20165 	03144722+0858509 	-0.035 	0.125 	0.84 	
16641 	22072 	03340836+1749588 	-0.27 	-0.19 	0.08 	
18106 	24213 	03521139+2509471 	0.09 	1.51 	0.3 	
18267 	24496 	03542799+1636582 	-0.09 	-0.03 	0.51 	
18324 	24238 	03550380+6110006 	-0.46 	-0.255 	0.41 	
19076 	25680 	04052023+2200321 	0.05 	0.07 	0.29 	
20800 	28005 	04272469+4651117 	0.26 	0.1 	0.75 	
22596 	30649 	04514353+4550035 	-0.505 	-0.08 		
23852 	33021 	05073831+0928185 	-0.155 	0.49 	0.15 	
26505 	37008 	05381191+5126445 	-0.41 	-0.19 	0.43 	
29761 	42250 	06160267+7046539 	0.01 	0.62 	0.79 	
29843 	43745 	06170358-2242548 	0.11 	0.82 	0.17 	
30067 	43947 	06194017+1600476 	-0.25 	-0.04 		
31655 	47157 	06373180+0908395 	0.34 	1.28 	1.09 	
32322 	48938 	06445195-2720302 	-0.38 	0.32 		
32480 	48682 	06464434+4334385 	0.09 	-0.03 	0.29 	
33277 	50692 	06551867+2522320 	-0.135 	0.12 	0.13 	
33382 	51219 	06563418+0109435 		0.345 	0.65 	
33537 	51419 	06581174+2228329 	-0.37 	-0.11 	0.45 	
35209 	56303 	07163642+0152435 	0.13 	0.89 	1.0 	
36249 	58781 	07275076+1902414 	0.1 	1.51 	0.47 	
36704 	59747 	07330059+3701475 	-0.04 	-0.02 	0.68 	
39157 	65583 	08003215+2912465 	-0.67 	-0.245 	0.21 	
40023 	67767 	08102717+2530268 	0.01 	0.38 	0.07 	
40118 	68017 	08113869+3227267 	-0.42 	-0.16 	0.13 	
40133 	68168 	08114919+1631264 	0.124 	0.84 	0.59 	
40843 	69897 	08200385+2713038 	-0.2575 	-0.105 	-0.095 	
41844 	71881 	08315502+5036599 	-0.05 	0.61 	0.25 	
42074 	72760 	08343166-0043339 	0.04 	0.06 	0.36 	
48113 	84737 	09483533+4601155 	0.11 	0.96 	0.29 	
49081 	86728 	10010072+3155262 	0.22 	0.19 	0.32 	
50505 	89269 	10185193+4402544 	-0.215 	-0.03 	0.45 	
54745 	97334 	11123236+3548508 	0.09 	0.05 	0.24 	
56242 	100180 	11314496+1421525 	-0.01 	0.76 	0.29 	
56960 	101472 	11403658-0824203 	-0.1 	-0.08 		
57217 	101959 	11435664-2944518 	-0.11 	0.6 	0.19 	
59280 	105631 	12093730+4015077 	0.16 	0.12 	0.79 	
62523 	111395 	12484706+2450250 	0.1 	0.12 	0.11 	
65355 	116443 	13234086+0243309 	-0.435 	-0.31 		
68682 	122742 	14033235+1047121 		0.41 	0.4 	
70319 	126053 	14231528+0114294 	-0.345 	-0.13 	0.09 	
70873 	127334 	14293678+4147456 	0.2 	0.395 	0.43 	
72312 	130307 	14471609+0242116 	-0.25 	-0.05 	0.6 	
72567 	130948 	14501581+2354424 	-0.05 	0.02 	0.24 	
73005 	132142 	14551121+5340485 	-0.41 	-0.1 	0.31 	
74702 	135599 	15155918+0047469 	-0.075 	-0.01 	0.62 	
75829 	139813 	15292366+8027010 		0.12 	0.58 	
76375 	139323 	15355661+3949519 	0.33 	0.535 	0.66 	
77801 	142267 	15531211+1311489 	-0.405 	-0.18 		
81375 	149806 	16370844+0015157 	0.25 	0.17 		
81813 	151541 	16423861+6806075 	-0.22 	0.04 		
85810 	159222 	17320102+3416158 	0.1 	0.15 	0.26 	
89474 	168009 	18153245+4512333 	-0.01 	0.04 	0.3 	
91949 	173701 	18443514+4349599 	0.18 	0.04 		
94336 	179957 	19120500+4951207 	-0.01 	0.63 	0.24 	
95319 	182488 	19233402+3313190 	0.13 	0.04 	0.5 	
97767 	187923 	19520343+1137421 	-0.13 	0.345 	0.04 	
98677 	190067 	20023415+1535311 	-0.37 	-0.19 		
98792 	190404 	20035209+2320262 	-0.61 	-0.415 	0.41 	
98819 	190406 	20040620+1704125 	0.05 	0.02 	0.26 	
99452 	191785 	20110609+1611162 	-0.12 	0.02 	0.6 	
103077 	198802 	20530557-1134250 	0.04 	0.61 	0.04 	
105038 	202575 	21163247+0923376 	-0.03 	0.07 	0.71 	
107070 	206374 	21410613+2645024 	-0.05 	0.46 	0.6 	
108156 	208313 	21544502+3219428 	-0.05 	-0.08 	0.59 	
108774 	209393 	22020538+4420354 	-0.18 	-0.07 		
112870 	216259 	22512632+1358115 	-0.6 	-0.46 	0.12 	
114456 	218868 	23105007+4530440 	0.21 	0.22 	0.84 	
114886 	219538 	23161813+3040126 	-0.04 	-0.03 	1.05 	
116085 	221354 	23312219+5909558 	0.01 	0.205 	0.85 	
8867 	11373 	01540610+6610343 	0.08 	0.07 	0.95 	
10723 	14214 	02180145+0145282 	0.145 	0.96 	0.11 	
13081 	17382 	02480915+2704069 	0.05 	0.41 	0.82 	
14721 	19617 	03100989+1820439 	0.16 	0.84 	0.34 	
19302 	25975 	04081538+3743389 	0.12 	0.2 	0.33 	
20184 	27530 	04193425-2847104 	0.18 	1.01 	0.59 	
20741 	28099 	04264010+1644488 	0.16 	0.77 	0.61 	
23786 	32850 	05064223+1426462 	-0.17 	0.12 	0.41 	
26437 	36130 	05373344+7441194 	0.13 	0.2 		
32423 	263175 	06460509+3233204 	-0.16 	0.07 		
34414 	53927 	07080426+2950047 	-0.22 	-0.03 	0.48 	
35136 	55575 	07155011+4714241 	-0.3 	-0.11 	0.05 	
38784 	62613 	07561720+8015558 	-0.1 	-0.16 	0.53 	
46543 	82074 	09293241-0414477 	-0.34 	-0.08 	-0.01 	
46843 	82443 	09324378+2659192 	-0.03 	0.09 	0.49 	
48433 	85440 	09522869+2746265 	-0.09 	-0.09 		
51248 	90508 	10280388+4847067 	-0.33 	0.085 	0.01 	
61946 	110463 		-0.05 	0.04 	0.75 	
62145 	110833 	12441457+5145336 	0.13 		0.48 	
62207 	110897 	12445938+3916441 	-0.49 	-0.16 	-0.37 	
63366 	112758 	12590162-0950029 	-0.53 	-0.23 	0.12 	
65515 	116956 	13254557+5658137 	0.08 	0.12 	1.17 	
72875 	131582 	14534156+2320426 	-0.37 	-0.1 		
74954 	136274 	15185904+2541301 	-0.26 	-0.05 		
74975 	136202 	15191881+0145553 	-0.02 	0.43 	0.12 	
77408 	141272 	15480945+0134183 	-0.06 	0.02 		
78709 	144287 	16040370+2515169 	-0.15 	0.29 	0.85 	
83006 	153525 	16574225+4721433 	-0.04 	0.12 	0.55 	
84195 	155712 	17123761+1821044 	-0.06 	-0.1 	0.55 	
85653 	159062 	17301639+4724078 	-0.4 	-0.11 	0.38 	
88511 	165173 	18042635+0626110 	-0.05 	0.04 	0.8 	
92919 	175742 	18555320+2333244 	-0.03 	0.02 		
94346 	180161 	19121135+5740192 	0.18 	0.17 	0.77 	
95362 	182736 	19240337+4456005 	-0.06 	0.17 	0.48 	
96395 	185414 	19355560+5659022 	-0.04 		0.61 	
96459 	185351 	19363801+4441418 		0.35 	-0.13 	
97295 	187013 	19462559+3343400 	-0.01 	-0.11 		
98878 	190412 	20044660+0109217 	-0.305 	0.38 	0.11 	
102040 	197076 	20404512+1956071 	-0.0915 	0.04 	0.27 	
108028 	208038 	21530535+2055499 	-0.08 	0.02 	0.77 	
112426 	215704 	22462034+5012358 	0.07 	0.09 		
112527 	216520 	22473183+8341493 	-0.17 	-0.08 	0.55 	
114924 	219623 	23164228+5312489 	0.04 	0.17 	0.44 	
116416 	221851 	23352560+3109408 	-0.09 	0.02 	0.67 	
117778 	223869 	23530732+2559553 	-0.02 	0.07 	0.03 	
7734 	10086 	01393600+4552401 	0.13 	0.05 	0.7 	
61597 	110010 	12371922+7912556 	0.38 	0.15 		
8433 	11007 	01484160+3241239 	-0.2 	-0.01 		
96183 	184385 	19332555+2150256 	0.12 	0.1 		
31660 	47127 	06373390+1210505 	0.16 	1.46 	0.43 	
61053 	108954 	12305012+5304357 	-0.1 	-0.06 	0.13 	
116613 	222143 	23375844+4611579 	0.124 	0.08 	0.27 	
51523 	91324 	10312180-5342556 	-0.52 	0.01 		
112935 	216385 	22522410+0950084 	-0.24 	-0.09 	-0.1 	
37606 	62644 	07425710-4510227 	-0.1 	0.08 	0.34 	
64577 	114946 	13141089-1955514 	-0.21 	-0.05 	-0.08 	
2981 	3454 	00375698+4724277 	-0.58 	-0.28 		
18366 	24421 	03553707+5213367 	-0.34 	-0.2 		
24332 	33632 	05131746+3720144 	-0.24 	-0.06 		
27980 	39833 	05550197-0030286 	0.195 	0.81 		
28908 	41330 	06060853+3523159 	-0.18 	0.04 	-0.03 	
38172 	63333 	07491887+2429194 	-0.37 	-0.24 		
43410 	75332 	08503222+3317061 	0.155 	0.08 		
50384 	89125 	10171459+2306227 	-0.36 	0.51 	-0.23 	
51700 	91347 	10335053+4911100 	-0.43 	-0.21 		
57080 	101676 	11420395+1217060 	-0.45 	-0.28 		
58229 	103723 	11563603-2125096 	-0.8 	-0.63 	-0.63 	
60588 	108134 	12250513+6041505 	-0.33 	-0.35 		
70520 	126512 	14253012+2035244 	-0.61 	-0.28 		
